altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0,12,6,Chicago,211,True,K3_FULL,13016,2019-05-16 13:54:02,41.894448,,-87.622663,60611,St. Clair St & Erie St,,St. Clair St & Erie St,IN_SERVICE,1,In Service,False,19
0,29,1,Chicago,212,True,K3_FULL,13264,2019-05-16 13:55:03,41.889906,,-87.634266,60654,Wells St & Hubbard St,,Wells St & Hubbard St,IN_SERVICE,1,In Service,False,31
0,7,8,Chicago,213,True,K3_FULL,13244,2019-05-16 13:56:22,41.910153,,-87.68229,60622,Leavitt St & North Ave,,Leavitt St & North Ave,IN_SERVICE,1,In Service,False,15
0,5,18,Chicago,214,True,K3_FULL,13141,2019-05-16 13:56:01,41.89122,,-87.67686,60622,Damen Ave & Grand Ave,,Damen Ave & Grand Ave,IN_SERVICE,1,In Service,False,23
0,5,10,Chicago,215,True,K3_FULL,13134,2019-05-16 13:56:28,41.88137,,-87.67493,60612,Damen Ave & Madison St,,Damen Ave & Madison St,IN_SERVICE,1,In Service,False,15
0,9,6,Chicago,216,True,K3_FULL,13256,2019-05-16 13:54:50,41.903029,,-87.697474,60622,California Ave & Division St,,California Ave & Division St,IN_SERVICE,1,In Service,False,15
0,15,0,Chicago,217,True,K3_FULL,13197,2019-05-16 13:57:27,41.886926,,-87.656919,60607,Racine Ave (May St) & Fulton St,,Racine Ave (May St) & Fulton St,IN_SERVICE,1,In Service,False,15
0,3,8,Chicago,218,True,K3_FULL,13180,2019-05-16 13:55:16,41.856802,,-87.633879,60616,Wells St & 19th St,,Wells St & 19th St,IN_SERVICE,1,In Service,False,11
0,5,13,Chicago,219,True,K3_FULL,13133,2019-05-16 13:53:48,41.915983,,-87.677335,60622,Damen Ave & Cortland St,,Damen Ave & Cortland St,IN_SERVICE,1,In Service,False,19
0,13,10,Chicago,220,True,K3_FULL,13123,2019-05-16 13:58:10,41.931248,,-87.644336,60614,Clark St & Drummond Pl,,Clark St & Drummond Pl,IN_SERVICE,1,In Service,False,23
0,9,10,Chicago,222,True,K3_FULL,13242,2019-05-16 13:54:54,41.920195,,-87.693033,60647,Milwaukee Ave & Rockwell St,,Milwaukee Ave & Rockwell St,IN_SERVICE,1,In Service,False,19
0,1,14,Chicago,223,True,K3_FULL,13185,2019-05-16 13:55:22,41.918216,,-87.656936,60614,Clifton Ave & Armitage Ave,,Clifton Ave & Armitage Ave,IN_SERVICE,1,In Service,False,15
0,5,14,Chicago,224,True,K3_FULL,13181,2019-05-16 13:58:02,41.913865,,-87.648755,60614,Halsted St & Willow St,,Halsted St & Willow St,IN_SERVICE,1,In Service,False,19
0,13,9,Chicago,225,True,K3_FULL,13192,2019-05-16 13:55:27,41.919936,,-87.64883,60614,Halsted St & Dickens Ave,,Halsted St & Dickens Ave,IN_SERVICE,1,In Service,False,23
0,6,9,Chicago,226,True,K3_FULL,13230,2019-05-16 13:57:27,41.939743,,-87.658865,60657,Racine Ave & Belmont Ave,,Racine Ave & Belmont Ave,IN_SERVICE,1,In Service,False,15
0,11,12,Chicago,227,True,K3_FULL,13235,2019-05-16 13:56:56,41.94815,,-87.66394,60613,Southport Ave & Waveland Ave,,Southport Ave & Waveland Ave,IN_SERVICE,1,In Service,False,23
0,5,10,Chicago,228,True,K3_FULL,13143,2019-05-16 13:57:13,41.9406,,-87.6785,60618,Damen Ave & Melrose Ave,,Damen Ave & Melrose Ave,IN_SERVICE,1,In Service,False,15
0,9,10,Chicago,229,True,K3_FULL,13071,2019-05-16 13:54:14,41.943739,,-87.66402,60657,Southport Ave & Roscoe St,,Southport Ave & Roscoe St,IN_SERVICE,1,In Service,False,19
0,5,14,Chicago,230,True,K3_FULL,13078,2019-05-16 13:54:38,41.94334,,-87.67097,60657,Lincoln Ave & Roscoe St,,Lincoln Ave & Roscoe St,IN_SERVICE,1,In Service,False,19
